Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / ALL,Price / ALL,Compare At Price / ALL,Status
18-inch-majestic-crane-stained-glass-window-panel,Majestic Crane Stained Glass Window Panel,"Featuring peaceful hues of Tiffany-style glass in blue, white and green, accented with hints of orange, this 18-Inch Majestic Crane Stained Glass Window Panel from River of Goods includes a single cabochon of orange Tiffany glass forming the crane's eye staring out into the middle distance from the shoreline. Handcrafted from 198 individual glass cuts, this 18-inch high stained glass panel is created using artisanal iron soldering methods. A silver-colored metal link chain is attached for immediate hanging, whether in a sunny living room window or against an illuminated wall in a formal dining room for added drama. A true statement piece, this incredible stained glass artwork will be a family treasure for years to come.

12in L x 0.25in W x 18in H

Stately image of a crane standing on the shore is handcrafted in stained glass art.

Made using traditional methods with 198 glass cuts.

Cool palette of blue, white and green highlighted by subtle hints of orange.
",River of Goods,,Stained Glass Art,"beach, Faire, gift, home decor, mother's day, stained glass",TRUE,Title,Default Title,,,,,'20397,4535.9237,,0,deny,manual,184.95,,TRUE,TRUE,'04827871,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/e48c8d540e92900e49b20811a80a31a37e162bbf4d1b41243a214eda352e4cba.jpg?v=1685015014,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
9-5h-marisol-multicolor-birds-window-panel,9.5"H Marisol Multicolor Birds Window Panel,"Tweet Tweet. What a wonderful way to enjoy the morning sun. This window panel creates a kaleidoscope from 162 pieces of hand cut glass and 15 cabochons. The background is made from rippled glass ¨C a great way to have privacy without losing light. A festival of birds is featured to bring nature, legend and whimsy into your home.

Look out your window and see 10 friendly little colorful birds chattering and basking in the sunlight.

At 24.25""W and 9.5""H, this window panel will add color and beauty to your windows!  Hues of blue, yellow, orange, teal, amber, and mahogany reflect the sunlight, as the bright blue eye cabochons bring life to each little birdie.  The beauty of stained glass is its transformation of brightness and allure when illuminated by natural light.

Artfully crafted from 162 pieces of hand cut stained glass and 15 brilliant cabochons, this piece has been soldered together using the copper foil method, made famous by Louis Comfort Tiffany in the early 1900s.",River of Goods,,Stained Glass Art,"Faire, home decor, mother's day, stained glass",TRUE,Title,Default Title,,,,,'10279,3628.73896,,0,deny,manual,119.95,,TRUE,TRUE,'010964,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/c10f75860dce4766df615ad7c77a9c28919ca87e0cbf5ce76c52a5fefbf50188.jpg?v=1685015011,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
8-5h-sebastian-yellow-pineapple-window-panel,8.5"H Sebastian Yellow Pineapple Window Panel,"PINEAPPLE FRUIT: The welcoming symbol of southern hospitality, this panel is designed with more than 38 individual glass cuts in soft yellow, rich blues and hints of purple
REAL STAINED GLASS: This piece has been soldered together using the copper foil method, made famous by Louis Comfort Tiffany in the early 1900s. A variety of glass types are used, including rippled and striated glass for added detail and dimension. The beauty of stained glass is its transformation of brightness and allure when illuminated by natural light.
MULTIPURPOSE: Window panels are not only great for adding color to your window, but they also add privacy without the weight of draperies and blinds. Panels can also be displayed against a wall for a more contemporary, gallery feel.
FEATURES: Panel includes a 21"" chain for hanging
OVERALL DIMENSIONS: 4""L x 0.5""W x 8.5""H",River of Goods,,Stained Glass Art,"beach, Faire, gift, home decor, mother's day, stained glass",TRUE,Title,Default Title,,,,,'20116,907.18474,,0,deny,manual,44.95,,TRUE,TRUE,'011246,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/8fb52d07fe740c37655f511182a46e7b377604b8a60f196b0f0bc34a2748223d.jpg?v=1685015007,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
24-5h-aria-peacock-window-panel,24.5"H Aria Peacock Window Panel,"A symbol of integrity and beauty, this Peacock is designed with vibrant blues and purples. Each panel comes with a decorative hanging chain for support and strength so that you can easily install it and enjoy. This 24.5""""H vertical shaped stained glass panel is perfect for your home office, kitchen window or dining room space.

PEACOCK DESIGN: 296 individual glass cuts in vibrant blues and purples and rich yellows and greens are designed into this one-of-a-kind window panel

REAL STAINED GLASS: This piece has been soldered together using the copper foil method, made famous by Louis Comfort Tiffany in the early 1900s. A variety of glass types are used, including rippled and striated glass for added detail and dimension. The beauty of stained glass is its transformation of brightness and allure when illuminated by natural light.

MULTIPURPOSE: Window panels are not only great for adding color to your window, but they also add privacy without the weight of draperies and blinds.",River of Goods,,Stained Glass Art,"Faire, gift, home decor, mother's day, stained glass",TRUE,Title,Default Title,,,,,'20111,5443.10844,,0,deny,manual,209.95,,TRUE,TRUE,'011540,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/04fcb2bc45798463c01ac787d3ef6199fa2797e664a839815a9903b453a5e28a.jpg?v=1685015004,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
8h-lola-multicolor-song-birds-stained-glass-window-panel,8"H Lola Multicolor Song Birds Stained Glass Window Panel,"Sing Me A Song! Add a little delight to your window with this adorable song bird glass panel. Four adorable birdies in beautiful life-like colors are ready to make your day!

GIFT GIVING: This would make a great gift item for anyone that loves birds, nature, or unique, radiant decor!

REAL STAINED GLASS: The panel is made with 53 pieces of handcrafted glass and 6 cabochons, all in shades of red, blue and brown.

VERSATILE: Window panels are not only great for adding color to your window, but they also add privacy without the weight of draperies and blinds. Panels can also be displayed against a wall for a more contemporary, gallery feel.

INCLUDES: 21"""" chain for convenient display options.

OVERALL DIMENSIONS: 18""L  x .25""W x 8""H",River of Goods,,Stained Glass Art,"Faire, gift, home decor, mother's day, stained glass",TRUE,Title,Default Title,,,,,'14472,1360.77711,,0,deny,manual,79.95,,TRUE,TRUE,'09807839,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/4d37ae6b363166cfc9fc5730d6ef1abfb4facc0be63dc23d79648090690e4da8.jpg?v=1685015001,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
12-h-alexis-blue-burst-stained-glass-window-panel,Alexis Blue Burst Stained Glass,"Some will see it as a flower in full bloom, and others may think of a firework mushrooming into shimmering blue sparkles. What will you see each time you gaze at this lovely 12¡±H Alexis Blue Burst Stained Glass Window Panel from River of Goods? Crafted using artisan methods and set in iron, this incredible piece features 108 individual glass cuts in vivid blue and purple hues, all surrounding a single jewel-like glass cabochon set in the center. Hang it from the included 29.5-inch metal chain in your living room, dining area or home office window and watch the colors grow more vibrant when illuminated by the sunlight.

Overall dimensions of 12in L x 0.25in W x 12in H

Tiffany-style textured stained glass in shades of blue and purple

Features 108 individual glass cuts and 1 cabochon

Crafted using artisan soldering methods

Colors become more vibrant when illuminated by sunlight

29.5in metal link chain for quick and easy display

Clean with damp cloth or lemon oil polish
",River of Goods,,Stained Glass Art,"2020, Faire, gift, home decor, mother's day, stained glass",TRUE,Title,Default Title,,,,,'20732,3175.14659,,0,deny,manual,129.95,,TRUE,TRUE,'014224,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/3f00392fbaa948006f4a9af4dc86755d5435efd60ef5803550f15bee37896219.jpg?v=1685014997,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
12-75h-hummingbirds-stained-glass-decorative-window-panel,12.75"H Hummingbirds Stained Glass Decorative Window Panel,"Enhance your home's natural beauty with the stylish addition of this 12.75""H Hummingbirds Stained Glass Decorative Window Panel from River of Goods. Handcrafted using traditional artisan methods for a unique look you'll love. Two hummingbird-shaped stained glass window panels flutter around a blossom fashioned in red stained glass. All three pieces are attached to an iron bar, allowing them to sway gently for natural movement. Made from 51 glass cuts including beautiful shades of green, yellow, blue and red, the Tiffany-style stained glass construction looks beautiful in your sunniest window, and the colors become more vibrant when light passes through. With a top metal chain for simple hanging, this unique stained glass art makes a perfect pick for creating a nature retreat-like atmosphere in your kitchen or for adding some color and style to a sun porch window.

Overall dimensions of 12.75in L x 0.25in W x 12.75in H

Handcrafted stained glass art with nature-inspired design

",River of Goods,,Stained Glass Art,"Faire, gift, home decor, stained glass, window",TRUE,Title,Default Title,,,,,'20705,2267.96185,,0,deny,manual,139.95,,TRUE,TRUE,'014547,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/479bf1aa32f73d6ddd74a40575088c71663b02756fdb82210129afdd27241fb0.jpg?v=1685014992,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
6-h-bubba-the-bluebird-in-blue-standing-triangle-suncatcher,6¡±H Bubba the Bluebird in Blue Standing Triangle Suncatcher,"Brighten any room in your home or cabin with the addition of this 6¡±H Bubba the Bluebird in Blue Standing Triangle Suncatcher from River of Goods. Handcrafted using traditional artisan methods for a unique look you'll love, this triangle-shaped stained glass suncatcher features a cute bluebird hanging from the top. Made from 13 glass cuts of beautiful shades of blue, white and yellow, the textured Tiffany-style stained glass construction looks beautiful in your sunniest room, and the colors become more vibrant when light passes through. Designed for setting on a countertop, tabletop or windowsill, this unique stained glass art makes a perfect pick for adding a touch of nature to any nook or corner in your kitchen, bedroom or sun porch.

Overall dimensions of 7""L x 1.25""W x 6""H

Handcrafted stained glass art with nature-inspired design

Features triangular silhouette in blue with hanging bluebird center

Made using traditional artisan copper foil soldering methods


",River of Goods,,Stained Glass Art,"Faire, gift, home decor, stained glass, window",TRUE,Title,Default Title,,,,,'20800,1360.77711,,0,deny,manual,59.95,,TRUE,TRUE,'34806239,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/66f55164566ded9adcc0702c5e2039181c0cebfeefc9602df1ea916436781363.jpg?v=1685014988,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
9-5h-pastel-stained-glass-birds-on-a-wire-window-panel,Pastel Birds on A Wire Stained Glass,"Tweet Tweet. What a wonderful way to enjoy the morning sun. This window panel creates a kaleidoscope from 162 pieces of hand cut glass and 15 cabochons. The background is made from rippled glass ¨C a great way to have privacy without losing light. A festival of birds is featured to bring nature, legend and whimsy into your home. Look out your window and see 10 friendly little colorful birds chattering and basking in the sunlight. This piece has been soldered together using the copper foil method, made famous by Louis Comfort Tiffany in the early 1900s. A variety of glass types are used, including rippled and striated glass for added detail and dimension. The beauty of stained glass is its transformation of brightness and allure when illuminated by natural light. Includes 30"" chain for convenient display option. 24.25""W x 0.25""D x 9.5""H",River of Goods,,Stained Glass Art,"Faire, gift, home decor, stained glass, window",TRUE,Title,Default Title,,,,,'19504,4535.9237,,0,deny,manual,119.95,,TRUE,TRUE,'015711,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/6017ea4272b1af759bdae11ea3c40b213e2897abac3cf95cd463f016abe77d4f.jpg?v=1685014985,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,Ivory Opalescent Stained Glass Table Lamp,"Cast soft lighting in dark corners with this stained glass table lamp.   As a focal point in your study, an accent light in your entryway, or a conversation piece in your favorite reading spot. Everyone has room in their house to make an artistic statement with a stunning piece of Tiffany-styled glass art like this.

Ivory opalescent glass has been heated, softened and curved in a kiln making the body of this Tiffany styled lamp.   A narrow of ribbon of pale moss green a clear glass with an embossed vintage texture trim the bottom of the lamp.

The metal and resin base features a pull chain switch and a dark charcoal finish.

40 watt bulb recommended and included.

The metal trim and solder have been antiqued with a charcoal patina and waxed to keep the finish beautiful for years to come.  Polish with a soft dry cloth.",J Devlin Glass Art & Bert Anderson Collection,,Lamp,"Faire, home decor, new, stained glass, table lamp",TRUE,Title,Default Title,,,,,LAM 589-5 TB,4535.9237,,0,deny,manual,234.95,,TRUE,TRUE,'875761003269,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/3d09465ff93c38b900c57f5c0a6626f68d7d88a04303ead3b7189c81feb84fab.jpg?v=1685014980,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/2b0b15e2dbba818d547efa91907e74ed6773a64c4e4a232a7752cc8feab83ed0.webp?v=1685014980,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/38ef38dd722a689e52d5421ecc6eba08a47aa64fa68f24411446f052a45e724b.webp?v=1685014980,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/fbad1a6484012496ba2e6e1e9df433dfc1e1c10c4e7b143493de29d5a5b0b30b.webp?v=1685014980,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/f43e0044819342fb1fb6e0a7263522e557123a8aa57bcf10c835a40206f36593.webp?v=1685014980,5,,,,,,,,,,,,,,,,,,,,,,,,,,
